,Presion,Temperatura,HR,RapViento,O3,CO,PM25,PM10,SO2,DoY,DoW,Presion_forecast,Temperatura_forecast,HR_forecast,RapViento_forecast,DoY_forecast,DoW_forecast
2022-05-31,979.8786666666666,-4.03379875,92.47117916666667,0.8329885,1.0,1.5691666666666666,116.0,105.76093889883617,2.6508333333333334,151.0,2.0,978.925875,-3.5356286249999997,87.22210833333334,0.5498584958333333,152.0,3.0
2022-06-01,978.925875,-3.5356286249999997,87.22210833333334,0.5498584958333333,2.1979873844015607,2.823206355573383,220.04166666666666,221.5,3.015054581178125,152.0,3.0,975.5142083333334,-3.967714583333333,87.61921666666666,0.40291083333333333,153.0,4.0
2022-06-02,975.5142083333334,-3.967714583333333,87.61921666666666,0.40291083333333333,1.125,3.2245833333333334,245.45833333333334,246.45833333333334,2.797083333333333,153.0,4.0,969.3342916666667,-0.21541583333333336,79.1170125,0.7968500166666667,154.0,5.0
2022-06-03,969.3342916666667,-0.21541583333333336,79.1170125,0.7968500166666667,1.1666666666666667,2.4279166666666665,174.45833333333334,177.29166666666666,2.605,154.0,5.0,969.094,3.83625,73.23716528208037,2.2154789166666666,155.0,6.0
2022-06-04,969.094,3.83625,73.23716528208037,2.2154789166666666,7.958333333333333,0.8801627111467666,51.07441315139571,53.03552111310057,1.3380258290229163,155.0,6.0,963.2536249999999,4.220465833333333,71.67728333333334,1.6435743333333335,156.0,7.0
2022-06-05,963.2536249999999,4.220465833333333,71.67728333333334,1.6435743333333335,10.833333333333334,0.9108333333333333,54.416666666666664,55.875,1.0,156.0,7.0,962.2767083333333,3.6529958333333337,73.65499166666667,2.1992668749999997,157.0,1.0
2022-06-06,962.2767083333333,3.6529958333333337,73.65499166666667,2.1992668749999997,11.458333333333334,1.0829166666666667,71.83333333333333,74.25,1.09125,157.0,1.0,963.5182083333333,5.125654166666666,72.57818333333334,1.5902330416666668,158.0,2.0
2022-06-07,963.5182083333333,5.125654166666666,72.57818333333334,1.5902330416666668,10.416666666666666,0.8379166666666666,43.083333333333336,45.0,1.01875,158.0,2.0,962.3212083333333,4.0910537499999995,81.52215,1.6083602083333333,159.0,3.0
2022-06-08,962.3212083333333,4.0910537499999995,81.52215,1.6083602083333333,10.34899369220078,1.11737302224005,75.94941315139572,64.41052111310057,1.0275545811781248,159.0,3.0,983.0879583333334,1.4611840791666666,62.56471666666667,2.342203,160.0,4.0
2022-06-09,983.0879583333334,1.4611840791666666,62.56471666666667,2.342203,10.583333333333334,0.9991666666666666,57.083333333333336,59.25,1.0079166666666668,160.0,4.0,981.9333333333334,1.4150973208333333,64.1019,1.1087043333333333,161.0,5.0
2022-06-10,981.9333333333334,1.4150973208333333,64.1019,1.1087043333333333,10.333333333333334,1.1345833333333333,80.625,81.79166666666667,1.0216666666666667,161.0,5.0,973.5457083333334,-1.5143875416666666,79.51061666666666,0.43131775833333336,162.0,6.0
