FECHA (YYMMDD);HORA (HHMM);;
131028;2000;;
131028;2100;;
131028;2200;;
131028;2300;;
131029;0000;;
131029;0100;;
131029;0200;;
131029;0300;;
131029;0400;;
131029;0500;;
131029;0600;;
131029;0700;;
131029;0800;;
131029;0900;;
131029;1000;;
131029;1100;;
131029;1200;;
131029;1300;;
131029;1400;;
131029;1500;;
131029;1600;;
131029;1700;;
131029;1800;;
131029;1900;;
131029;2000;;
131029;2100;;
131029;2200;;
131029;2300;;
131030;0000;;
131030;0100;;
131030;0200;;
131030;0300;;
131030;0400;;
131030;0500;;
131030;0600;;
131030;0700;;
131030;0800;;
131030;0900;;
131030;1000;;
131030;1100;;
131030;1200;;
131030;1300;;
131030;1400;;
131030;1500;;
131030;1600;;
131030;1700;;
131030;1800;;
131030;1900;;
131030;2000;;
131030;2100;;
131030;2200;;
131030;2300;;
131031;0000;;
131031;0100;;
131031;0200;;
131031;0300;;
131031;0400;;
131031;0500;;
131031;0600;;
131031;0700;;
131031;0800;;
131031;0900;;
131031;1000;;
131031;1100;;
131031;1200;;
131031;1300;;
131031;1400;;
131031;1500;;
131031;1600;;
131031;1700;;
131031;1800;;
131031;1900;;
131031;2000;;
131031;2100;;
131031;2200;;
131031;2300;;
131101;0000;;
131101;0100;;
131101;0200;;
131101;0300;;
131101;0400;;
131101;0500;;
131101;0600;;
131101;0700;;
131101;0800;;
131101;0900;;
131101;1000;;
131101;1100;;
131101;1200;;
131101;1300;;
131101;1400;;
131101;1500;;
131101;1600;;
131101;1700;;
131101;1800;;
131101;1900;;
131101;2000;;
131101;2100;;
131101;2200;;
131101;2300;;
131102;0000;;
131102;0100;;
131102;0200;;
131102;0300;;
131102;0400;;
131102;0500;;
131102;0600;;
131102;0700;;
131102;0800;;
131102;0900;;
131102;1000;;
131102;1100;;
131102;1200;;
131102;1300;;
131102;1400;;
131102;1500;;
131102;1600;;
131102;1700;;
131102;1800;;
131102;1900;;
131102;2000;;
131102;2100;;
131102;2200;;
131102;2300;;
131103;0000;;
131103;0100;;
131103;0200;;
131103;0300;;
131103;0400;;
131103;0500;;
131103;0600;;
131103;0700;;
131103;0800;;
131103;0900;;
131103;1000;;
131103;1100;;
131103;1200;;
131103;1300;;
131103;1400;;
131103;1500;;
131103;1600;;
131103;1700;;
131103;1800;;
131103;1900;;
131103;2000;;
