FECHA (YYMMDD);HORA (HHMM);;
131102;2000;;
131102;2100;;
131102;2200;;
131102;2300;;
131103;0000;;
131103;0100;;
131103;0200;;
131103;0300;;
131103;0400;;
131103;0500;;
131103;0600;;
131103;0700;;
131103;0800;;
131103;0900;;
131103;1000;;
131103;1100;;
131103;1200;;
131103;1300;;
131103;1400;;
131103;1500;;
131103;1600;;
131103;1700;;
131103;1800;;
131103;1900;;
131103;2000;;
131103;2100;;
131103;2200;;
131103;2300;;
131104;0000;;
131104;0100;;
131104;0200;;
131104;0300;;
131104;0400;;
131104;0500;;
131104;0600;;
131104;0700;;
131104;0800;;
131104;0900;;
131104;1000;;
131104;1100;;
131104;1200;;
131104;1300;;
131104;1400;;
131104;1500;;
131104;1600;;
131104;1700;;
131104;1800;;
131104;1900;;
131104;2000;;
131104;2100;;
131104;2200;;
131104;2300;;
131105;0000;;
131105;0100;;
131105;0200;;
131105;0300;;
131105;0400;;
131105;0500;;
131105;0600;;
131105;0700;;
131105;0800;;
131105;0900;;
131105;1000;;
131105;1100;;
131105;1200;;
131105;1300;;
131105;1400;;
131105;1500;;
131105;1600;;
131105;1700;;
131105;1800;;
131105;1900;;
131105;2000;;
131105;2100;;
131105;2200;;
131105;2300;;
131106;0000;;
131106;0100;;
131106;0200;;
131106;0300;;
131106;0400;;
131106;0500;;
131106;0600;;
131106;0700;;
131106;0800;;
131106;0900;;
131106;1000;;
131106;1100;;
131106;1200;;
131106;1300;;
131106;1400;;
131106;1500;;
131106;1600;;
131106;1700;;
131106;1800;;
131106;1900;;
131106;2000;;
131106;2100;;
131106;2200;;
131106;2300;;
131107;0000;;
131107;0100;;
131107;0200;;
131107;0300;;
131107;0400;;
131107;0500;;
131107;0600;;
131107;0700;;
131107;0800;;
131107;0900;;
131107;1000;;
131107;1100;;
131107;1200;;
131107;1300;;
131107;1400;;
131107;1500;;
131107;1600;;
131107;1700;;
131107;1800;;
131107;1900;;
131107;2000;;
131107;2100;;
131107;2200;;
131107;2300;;
131108;0000;;
131108;0100;;
131108;0200;;
131108;0300;;
131108;0400;;
131108;0500;;
131108;0600;;
131108;0700;;
131108;0800;;
131108;0900;;
131108;1000;;
131108;1100;;
131108;1200;;
131108;1300;;
131108;1400;;
131108;1500;;
131108;1600;;
131108;1700;;
131108;1800;;
131108;1900;;
131108;2000;;
131108;2100;;
131108;2200;;
131108;2300;;
131109;0000;;
131109;0100;;
131109;0200;;
131109;0300;;
131109;0400;;
131109;0500;;
131109;0600;;
131109;0700;;
131109;0800;;
131109;0900;;
131109;1000;;
131109;1100;;
131109;1200;;
131109;1300;;
131109;1400;;
131109;1500;;
131109;1600;;
131109;1700;;
131109;1800;;
131109;1900;;
131109;2000;;
131109;2100;;
131109;2200;;
131109;2300;;
131110;0000;;
131110;0100;;
131110;0200;;
131110;0300;;
131110;0400;;
131110;0500;;
131110;0600;;
131110;0700;;
131110;0800;;
131110;0900;;
131110;1000;;
131110;1100;;
131110;1200;;
131110;1300;;
131110;1400;;
