FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
131006;1100;33;;;
131006;1200;46;;;
131006;1300;42;;;
131006;1400;27;;;
131006;1500;24;;;
131006;1600;36;;;
131006;1700;60;;;
131006;1800;84;;;
131006;1900;88;;;
131006;2000;97;;;
131006;2100;117;;;
131006;2200;87;;;
131006;2300;54;;;
131007;0000;30;;;
131007;0100;20;;;
131007;0200;16;;;
131007;0300;15;;;
131007;0400;19;;;
131007;0500;51;;;
131007;0600;205;;;
131007;0700;119;;;
131007;0800;55;;;
131007;0900;38;;;
131007;1000;43;;;
131007;1100;50;;;
131007;1200;40;;;
131007;1300;42;;;
131007;1400;37;;;
131007;1500;50;;;
131007;1600;65;;;
131007;1700;72;;;
131007;1800;68;;;
131007;1900;125;;;
131007;2000;206;;;
131007;2100;226;;;
131007;2200;133;;;
131007;2300;201;;;
131008;0000;214;;;
131008;0100;80;;;
131008;0200;113;;;
131008;0300;94;;;
131008;0400;51;;;
131008;0500;80;;;
131008;0600;199;;;
131008;0700;159;;;
131008;0800;102;;;
131008;0900;56;;;
131008;1000;80;;;
131008;1100;97;;;
131008;1200;51;;;
131008;1300;37;;;
131008;1400;28;;;
131008;1500;32;;;
131008;1600;39;;;
131008;1700;44;;;
131008;1800;44;;;
131008;1900;49;;;
131008;2000;41;;;
131008;2100;50;;;
131008;2200;42;;;
131008;2300;34;;;
131009;0000;22;;;
131009;0100;17;;;
131009;0200;12;;;
131009;0300;11;;;
131009;0400;11;;;
131009;0500;36;;;
131009;0600;49;;;
131009;0700;53;;;
131009;0800;52;;;
131009;0900;108;;;
131009;1000;95;;;
131009;1100;63;;;
131009;1200;48;;;
131009;1300;43;;;
131009;1400;49;;;
131009;1500;63;;;
131009;1600;34;;;
131009;1700;42;;;
131009;1800;65;;;
131009;1900;56;;;
131009;2000;38;;;
131009;2100;30;;;
131009;2200;61;;;
131009;2300;57;;;
131010;0000;34;;;
131010;0100;45;;;
131010;0200;21;;;
131010;0300;23;;;
131010;0400;22;;;
131010;0500;47;;;
131010;0600;115;;;
131010;0700;42;;;
131010;0800;52;;;
131010;0900;31;;;
131010;1000;25;;;
131010;1100;30;;;
131010;1200;23;;;
131010;1300;17;;;
131010;1400;20;;;
131010;1500;20;;;
131010;1600;39;;;
131010;1700;49;;;
131010;1800;52;;;
131010;1900;121;;;
131010;2000;75;;;
131010;2100;406;;;
131010;2200;352;;;
131010;2300;297;;;
131011;0000;191;;;
131011;0100;159;;;
131011;0200;102;;;
131011;0300;60;;;
131011;0400;35;;;
131011;0500;91;;;
131011;0600;123;;;
131011;0700;58;;;
131011;0800;31;;;
131011;0900;24;;;
131011;1000;20;;;
131011;1100;23;;;
131011;1200;26;;;
131011;1300;26;;;
131011;1400;25;;;
131011;1500;24;;;
131011;1600;28;;;
131011;1700;42;;;
131011;1800;36;;;
131011;1900;92;;;
131011;2000;109;;;
131011;2100;171;;;
131011;2200;142;;;
131011;2300;61;;;
131012;0000;81;;;
131012;0100;31;;;
131012;0200;30;;;
131012;0300;27;;;
131012;0400;30;;;
131012;0500;74;;;
131012;0600;89;;;
131012;0700;70;;;
131012;0800;25;;;
131012;0900;18;;;
131012;1000;27;;;
131012;1100;34;;;
131012;1200;23;;;
131012;1300;25;;;
131012;1400;24;;;
131012;1500;33;;;
131012;1600;27;;;
131012;1700;30;;;
131012;1800;44;;;
131012;1900;55;;;
131012;2000;47;;;
131012;2100;88;;;
131012;2200;62;;;
131012;2300;43;;;
131013;0000;31;;;
131013;0100;16;;;
131013;0200;10;;;
131013;0300;8;;;
131013;0400;4;;;
131013;0500;7;;;
131013;0600;10;;;
131013;0700;33;;;
131013;0800;18;;;
131013;0900;30;;;
131013;1000;29;;;
131013;1100;17;;;
131013;1200;27;;;
131013;1300;34;;;
131013;1400;31;;;
131013;1500;39;;;
131013;1600;40;;;
131013;1700;57;;;
131013;1800;56;;;
131013;1900;93;;;
131013;2000;46;;;
131013;2100;20;;;
131013;2200;19;;;
131013;2300;16;;;
131014;0000;12;;;
131014;0100;9;;;
131014;0200;7;;;
131014;0300;9;;;
131014;0400;9;;;
131014;0500;29;;;
131014;0600;41;;;
131014;0700;43;;;
131014;0800;34;;;
131014;0900;37;;;
131014;1000;30;;;
131014;1100;25;;;
131014;1200;32;;;
131014;1300;29;;;
131014;1400;57;;;
131014;1500;46;;;
131014;1600;49;;;
131014;1700;51;;;
131014;1800;98;;;
131014;1900;96;;;
131014;2000;91;;;
131014;2100;80;;;
131014;2200;59;;;
131014;2300;32;;;
131015;0000;12;;;
131015;0100;16;;;
131015;0200;7;;;
131015;0300;10;;;
131015;0400;7;;;
131015;0500;19;;;
131015;0600;35;;;
131015;0700;37;;;
131015;0800;28;;;
131015;0900;24;;;
131015;1000;22;;;
131015;1100;21;;;
131015;1200;26;;;
131015;1300;23;;;
131015;1400;21;;;
131015;1500;23;;;
131015;1600;27;;;
131015;1700;30;;;
131015;1800;63;;;
131015;1900;80;;;
131015;2000;82;;;
131015;2100;68;;;
131015;2200;55;;;
131015;2300;26;;;
131016;0000;27;;;
131016;0100;23;;;
131016;0200;8;;;
131016;0300;11;;;
131016;0400;17;;;
131016;0500;53;;;
131016;0600;82;;;
131016;0700;33;;;
131016;0800;20;;;
131016;0900;21;;;
131016;1000;16;;;
131016;1100;21;;;
131016;1200;22;;;
131016;1300;13;;;
131016;1400;11;;;
131016;1500;12;;;
131016;1600;17;;;
131016;1700;17;;;
131016;1800;26;;;
131016;1900;77;;;
131016;2000;78;;;
131016;2100;76;;;
131016;2200;62;;;
131016;2300;66;;;
131017;0000;75;;;
131017;0100;14;;;
131017;0200;12;;;
131017;0300;7;;;
131017;0400;6;;;
131017;0500;20;;;
131017;0600;42;;;
131017;0700;33;;;
131017;0800;25;;;
131017;0900;26;;;
131017;1000;21;;;
131017;1100;22;;;
131017;1200;27;;;
131017;1300;17;;;
131017;1400;22;;;
131017;1500;19;;;
131017;1600;15;;;
131017;1700;18;;;
131017;1800;20;;;
131017;1900;40;;;
131017;2000;31;;;
131017;2100;31;;;
131017;2200;43;;;
131017;2300;26;;;
131018;0000;25;;;
131018;0100;14;;;
131018;0200;13;;;
131018;0300;18;;;
131018;0400;23;;;
131018;0500;46;;;
131018;0600;68;;;
131018;0700;30;;;
131018;0800;27;;;
131018;0900;19;;;
131018;1000;16;;;
131018;1100;16;;;
131018;1200;40;;;
131018;1300;30;;;
131018;1400;30;;;
131018;1500;21;;;
131018;1600;21;;;
131018;1700;19;;;
131018;1800;21;;;
131018;1900;36;;;
131018;2000;93;;;
131018;2100;185;;;
131018;2200;105;;;
131018;2300;24;;;
131019;0000;22;;;
131019;0100;62;;;
131019;0200;18;;;
131019;0300;14;;;
131019;0400;18;;;
131019;0500;7;;;
131019;0600;21;;;
131019;0700;23;;;
131019;0800;27;;;
131019;0900;42;;;
131019;1000;46;;;
131019;1100;47;;;
131019;1200;55;;;
131019;1300;31;;;
131019;1400;35;;;
131019;1500;34;;;
131019;1600;36;;;
131019;1700;33;;;
131019;1800;39;;;
131019;1900;39;;;
131019;2000;36;;;
131019;2100;32;;;
131019;2200;26;;;
131019;2300;17;;;
131020;0000;22;;;
131020;0100;16;;;
131020;0200;9;;;
131020;0300;6;;;
131020;0400;8;;;
131020;0500;8;;;
131020;0600;17;;;
131020;0700;17;;;
131020;0800;26;;;
131020;0900;22;;;
131020;1000;33;;;
131020;1100;28;;;
131020;1200;34;;;
131020;1300;41;;;
131020;1400;50;;;
131020;1500;38;;;
131020;1600;36;;;
131020;1700;46;;;
131020;1800;72;;;
131020;1900;78;;;
131020;2000;68;;;
131020;2100;56;;;
131020;2200;55;;;
131020;2300;37;;;
131021;0000;35;;;
